link,price,title,photo_id,page_n,clothing_type
https://roe.shein.com/Ribbed-Knit-Asymmetrical-Tank-Top-p-10877015-cat-1779.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"5,00€",Ribbed Knit Asymmetrical Tank Top,tops_1_7,1,tops
https://roe.shein.com/Floral-And-Striped-Print-Button-Up-Shirt-p-10937045-cat-1733.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"10,00€",Floral And Striped Print Button Up Shirt,tops_1_8,1,tops
https://roe.shein.com/Colorful-Striped-Sweetheart-Neck-Ribbed-Knit-Tee-p-10632290-cat-1738.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"5,00€",Colorful Striped Sweetheart Neck Ribbed Knit Tee,tops_1_9,1,tops
https://roe.shein.com/Curved-Hem-Drop-Shoulder-Blouse-p-10456845-cat-1733.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"14,00€",Curved Hem Drop Shoulder Blouse,tops_1_10,1,tops
https://roe.shein.com/Floral-Print-Tie-Shoulder-Shirred-Back-Bustier-Cami-Top-p-10570825-cat-1779.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"7,00€",Floral Print Tie Shoulder Shirred Back Bustier Cami Top,tops_1_11,1,tops
https://roe.shein.com/Chain-Detail-Asymmetrical-Crop-Top-p-10567920-cat-2223.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"6,00€",Chain Detail Asymmetrical Crop Top,tops_1_12,1,tops
https://roe.shein.com/Car-Letter-Graphic-Drop-Shoulder-Tee-p-10536444-cat-1738.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"9,00€",Car & Letter Graphic Drop Shoulder Tee,tops_1_13,1,tops
https://roe.shein.com/Wide-Strap-Wrap-Cross-Crop-Tank-Top-p-10774963-cat-1779.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"7,00€",Wide Strap Wrap Cross Crop Tank Top,tops_1_14,1,tops
https://roe.shein.com/Solid-Fuzzy-Crop-Tube-Top-p-10787799-cat-2223.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"8,00€",Solid Fuzzy Crop Tube Top,tops_1_15,1,tops
https://roe.shein.com/Dopamine-Dressing-Asymmetrical-Neck-Crop-Top-p-10805355-cat-2223.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"3,00€",Dopamine Dressing Asymmetrical Neck Crop Top,tops_1_16,1,tops
https://roe.shein.com/Drop-Shoulder-Crop-Tee-p-10755682-cat-1738.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"7,00€",Drop Shoulder Crop Tee,tops_1_17,1,tops
https://roe.shein.com/Twist-Backless-Solid-Tee-p-10805528-cat-1738.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"6,00€",Twist Backless Solid Tee,tops_1_18,1,tops
https://roe.shein.com/Swiss-Dot-Guipure-Lace-Detail-Contrast-Embroidered-Mesh-Blouse-p-10513405-cat-1733.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"8,00€",Swiss Dot Guipure Lace Detail Contrast Embroidered Mesh Blouse,tops_1_19,1,tops
https://roe.shein.com/Solid-Dolman-Sleeve-Backless-Tee-p-10594025-cat-1738.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"5,00€",Solid Dolman Sleeve Backless Tee,tops_1_20,1,tops
https://roe.shein.com/Scoop-Neck-Striped-Crop-Tee-p-10219659-cat-1738.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"4,00€",Scoop Neck Striped Crop Tee,tops_1_21,1,tops
https://roe.shein.com/Guipure-Lace-Panel-Ruffle-Sleeve-Blouse-p-10536399-cat-1733.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"8,00€",Guipure Lace Panel Ruffle Sleeve Blouse,tops_1_22,1,tops
https://roe.shein.com/Criss-Cross-Back-Halter-Top-p-10279343-cat-1779.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"5,00€",Criss Cross Back Halter Top,tops_1_23,1,tops
